mc	mn	mc_playthrough	mn_playthrough	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
186	177	251	177a	953	4.0	-3	2/2	1	0							187
187	178	252	178a	957	4.0	-3	2/2	1	0							188
188	179	253	179a	961	4.0	-3	2/2	1	0							189
189	180	254	180a	965	4.0	-3	2/2	1	0							190
190	181	255	181a	969	4.0	-3	2/2	1	0							191
191	182	256	182a	973	4.0	-3	2/2	1	0							192
192	183	257	183a	977	4.0	-3	2/2	1	0							193
193	184	258	184a	981	4.0	-3	2/2	1	0							194
194	185	259	185a	985	4.0	-3	2/2	1	0							195
195	186	260	186a	989	4.0	-3	2/2	1	0							196
196	187	261	187a	993	4.0	-3	2/2	1	0							197
197	188	262	188a	997	4.0	-3	2/2	1	0							198
198	189	263	189a	1001	4.0	-3	2/2	1	0							199
199	190	264	190a	1005	4.0	-3	2/2	1	0							200
200	191	265	191a	1009	4.0	-3	2/2	1	0							201
201	192	266	192a	1013	4.0	-3	2/2	1	0							202
202	193	267	193a	1017	4.0	-3	2/2	1	0							203
203	194	268	194a	1021	4.0	-3	2/2	1	0							204
204	195	269	195a	1025	4.0	-3	2/2	1	0							205
205	196	270	196a	1029	4.0	-3	2/2	1	0							206
206	197	271	197a	1033	4.0	-3	2/2	1	0							207
207	198	272	198a	1037	4.0	-3	2/2	1	0							208
208	199	273	199a	1041	4.0	-3	2/2	1	0							209
209	200	274	200a	1045	4.0	-3	2/2	1	0							210
210	201	275	201a	1049	4.0	-3	2/2	1	0							211
211	202	276	202a	1053	4.0	-3	2/2	1	0							212
212	203	277	203a	1057	4.0	-3	2/2	1	0							213
213	204	278	204a	1061	4.0	-3	2/2	1	0							214
214	205	279	205a	1065	4.0	-3	2/2	1	0							215
215	206	280	206a	1069	4.0	-3	2/2	1	0							216
216	207	281	207a	1073	4.0	-3	2/2	1	0							217
217	208	282	208a	1077	4.0	-3	2/2	1	0							218
218	209	283	209a	1081	4.0	-3	2/2	1	0							219
219	210	284	210a	1085	4.0	-3	2/2	1	0							220
220	211	285	211a	1089	4.0	-3	2/2	1	0							221
221	212	286	212a	1093	4.0	-3	2/2	1	0							222
222	213	287	213a	1097	4.0	-3	2/2	1	0							223
223	214	288	214a	1101	4.0	-3	2/2	1	0							224
224	215	289	215a	1105	4.0	-3	2/2	1	0							225
225	216	290	216a	1109	4.0	-3	2/2	1	0							226
226	217	291	217a	1113	3.0	-3	2/2	3/4	0				end		lastMeasure	-1
